,Model,TP,TN,FP,FN
0,LogisticRegression,6.526770711422911,83.57372161598462,9.281973494086186,0.6175341785062799
1,LinearDiscriminantCl,6.523174694502017,82.15885241292736,10.696842697143454,0.6211301954271742
2,BernoulliNB,6.512059733110162,82.54297240220468,10.312722707866124,0.6322451568190288
3,ExtraTreeCl,5.544077360131287,86.02489751351776,6.830797596553054,1.6002275297979036
4,PassiveAggressiveClassifier,6.152458041020746,81.901900658398,10.953794451672803,0.9918468489084455
5,RidgeCl,6.523174694502017,82.15885241292736,10.696842697143454,0.6211301954271742
6,RidgeClCV,6.523174694502017,82.15885241292736,10.696842697143454,0.6211301954271742
7,GaussianNB,3.569537159931218,89.98640051782644,2.869294592244372,3.574767729997973
8,SDG_Cl,6.5100982693351295,80.79367362550425,12.062021484566548,0.634206620594062
9,NearestCentroid,6.078249328198657,85.11706669630657,7.738628413764245,1.066055561730534
10,DecisionTreeCl,5.411351644687375,86.22562063982949,6.630074470241325,1.7329532452418157
11,QuadraticDiscriminantAnalysis,3.139976593198951,91.0227072123023,1.832987897768508,4.00432829673024
12,BaggingCl,5.562384355364931,86.06543443153511,6.790260678535702,1.5819205345642608
